time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-01 00:00:00+00:00,3.0,3.0,,
2022-05-02 00:00:00+00:00,1.0,1.0,3.0,3.0
2022-05-03 00:00:00+00:00,1.0,1.0,3.0,3.0
2022-05-04 00:00:00+00:00,3.0,2.0,1.0,1.0
2022-05-05 00:00:00+00:00,4.0,3.0,3.0,2.0
2022-05-06 00:00:00+00:00,2.0,2.0,8.0,4.0
2022-05-07 00:00:00+00:00,2.0,2.0,12.0,4.0
2022-05-08 00:00:00+00:00,1.0,1.0,2.0,2.0
2022-05-09 00:00:00+00:00,1.0,1.0,3.0,3.0
2022-05-10 00:00:00+00:00,1.0,1.0,5.0,2.0
2022-05-11 00:00:00+00:00,1.0,1.0,8.0,4.0
2022-05-12 00:00:00+00:00,1.0,1.0,5.0,4.0
2022-05-13 00:00:00+00:00,2.0,2.0,1.0,1.0
2022-05-14 00:00:00+00:00,,,12.0,7.0
