time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-09 00:00:00+00:00,1,1,3.0,3.0
2022-05-10 00:00:00+00:00,1,1,5.0,2.0
2022-05-11 00:00:00+00:00,1,1,8.0,4.0
2022-05-12 00:00:00+00:00,1,1,5.0,4.0
2022-05-13 00:00:00+00:00,2,2,1.0,1.0
2022-05-14 00:00:00+00:00,2,2,12.0,7.0
2022-05-15 00:00:00+00:00,2,2,2.0,2.0
2022-05-16 00:00:00+00:00,1,1,,
2022-05-17 00:00:00+00:00,1,1,11.0,5.0
2022-05-18 00:00:00+00:00,1,1,5.0,3.0
2022-05-19 00:00:00+00:00,2,2,3.0,2.0
2022-05-20 00:00:00+00:00,1,1,8.0,5.0
2022-05-21 00:00:00+00:00,2,2,3.0,1.0
