time_iso8601,stars_cumulative
2021-10-08 00:00:00+00:00,4
2021-10-09 00:00:00+00:00,5
2021-10-11 00:00:00+00:00,6
2021-10-12 00:00:00+00:00,9
2021-10-13 00:00:00+00:00,23
2021-10-14 00:00:00+00:00,25
2021-10-15 00:00:00+00:00,27
2021-10-16 00:00:00+00:00,29
2021-10-21 00:00:00+00:00,31
2021-10-28 00:00:00+00:00,32
2021-11-13 00:00:00+00:00,33
2022-01-30 00:00:00+00:00,34
2022-02-19 00:00:00+00:00,35
2022-02-27 00:00:00+00:00,36
